productId,name,brand,category,categoryGroup,variantGroup,variantName,unit,price,price1,price10,price30,price50,price100,price500,price1000,stock,minStock,status,image1,image2,image3,image4,image5,coverIndex,createdAt,updatedAt
,Gummies,JIGz,ขนม,CATEGORY:ขนม,,,ชิ้น,,75,,,,,,,10,,ACTIVE,https://drive.google.com/thumbnail?id=1LdbDqEx8SotiAAUVmC9Kqip4qOmsrJp1&sz=w1200,,,,,,,10/8/2026
,Brownies,JIGz,ขนม,CATEGORY:ขนม,,,ชิ้น,,85,,,,,,,,,ACTIVE,https://drive.google.com/thumbnail?id=1jmb2-4BrdKeLDaO5nxKpA4T47xFuptB6&sz=w1200,,,,,,,
,Cookie,JIGz,ขนม,CATEGORY:ขนม,,,ชิ้น,,80,,,,,,,,,ACTIVE,https://drive.google.com/thumbnail?id=12VxAyuELiezZxSkxo5owapJiPQVjHwCr&sz=w1200,,,,,,,
,Kitkat mini brownie,JIGz,ขนม,CATEGORY:ขนม,,,ชิ้น,,65,,,,,,,,,ACTIVE,https://drive.google.com/thumbnail?id=1E88Hf5ZKOce4-6MzLh4yBgvqCSZnFV9f&sz=w1200,,,,,,,
,Chocmeow0.5,JIGz,ขนม,CATEGORY:ขนม,,,ชิ้น,,90,,,,,,,,,ACTIVE,https://drive.google.com/thumbnail?id=1dZXXyUpRjpKnJlfMFHQmJBiRXwyj3SKE&sz=w1200,,,,,,,
,Chowmeow1.0,JIGz,ขนม,CATEGORY:ขนม,,,ชิ้น,,180,,,,,,,,,HIDDEN,https://drive.google.com/thumbnail?id=1vXwuCnUcKJADW83FDNy4F_96MN29goS2&sz=w1200,,,,,,,
,Chocbar5.0,JIGz,ขนม,CATEGORY:ขนม,,,ชิ้น,,850,,,,,,,,,ACTIVE,https://drive.google.com/thumbnail?id=19kfMH2kFWHtVxrNR0iWQ3Vfi8bOilZ93&sz=w1200,,,,,,,
,Sugar Baby,JIGz,TOP,FLOWER,,,กรัม,,60,,,,,,,,,ACTIVE,https://drive.google.com/thumbnail?id=1VcTqtu2w5qp_Blrm1-ksuzJXq4DCKSc0&sz=w1600,https://drive.google.com/thumbnail?id=1DZbFKB2usKOI8-wtk0vfY1YgOsrUthp7&sz=w1600,,,,,,
,Baby Sister (Evap),JIGz,TOP,FLOWER,,,กรัม,,10,,,,,,,,,ACTIVE,https://drive.google.com/thumbnail?id=1Icfo2dEqLwwD25AaYTGspXAWq5SkxL3u&sz=w1600,,,,,,,
,Ice Cream Cake (Evap),JIGz,TOP,FLOWER,,,กรัม,,10,,,,,,,,,ACTIVE,https://drive.google.com/thumbnail?id=1GL_TazckkWZ7OfgXZpPwdmVcYOFbX5Am&sz=w1600,https://drive.google.com/thumbnail?id=1CmhYvOcxZCnQCygYpn7VzJj9f4pzMejP&sz=w1600,,,,,,
